T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
261.22613065326635,CONVERGED,3796.580252906973,680.411243315513,987440.4288690763,34999.17525776721,41237.09891059231,0.0,4.187447458245317e-16,9,False,attempt=1; line-search rejected step
261.8894472361809,CONVERGED,3782.2184259028013,691.2225070162579,1000612.6811454217,35105.08862964118,41273.18771565828,3.490321200816838e-16,1.044210360874897e-15,5,False,attempt=1; line-search rejected step
262.5527638190955,CONVERGED,3767.7162042348773,702.1822620689677,1013867.054043364,35211.56193485628,41309.162310599524,2.640930476378789e-15,8.332578038180392e-16,7,False,attempt=1; line-search rejected step
263.21608040201005,CONVERGED,3753.0846530013896,713.2920318261796,1027201.9125358897,35318.62618436166,41345.02417428062,1.1333246210527023e-15,1.0389474449667074e-15,6,False,attempt=1; line-search rejected step
263.8793969849246,CONVERGED,3738.336030117821,724.5531530060825,1040615.4467747516,35426.32233481959,41380.77547546256,0.0,8.290686649505812e-16,12,False,attempt=1; line-search rejected step
264.5427135678392,CONVERGED,3723.484095645491,735.9667023996091,1054105.632277254,35534.70353679195,41416.41928047433,0.0,1.2404847770083461e-15,9,False,attempt=1; line-search rejected step
265.20603015075375,CONVERGED,3708.5445240925287,747.5334020037336,1067670.1801205878,35643.837636385295,41451.959818659845,0.0,4.124607182609985e-16,7,False,attempt=1; line-search rejected step
265.86934673366835,CONVERGED,3693.535441578037,759.2534973935789,1081306.4752975353,35753.8099189366,41487.40281872062,6.45970358005495e-16,0.0,5,False,attempt=1; line-search rejected step
266.5326633165829,CONVERGED,3678.478112301487,771.1266031668346,1095011.5011863145,35864.726074954226,41522.75593132219,4.252569829661613e-16,1.4364271122605317e-15,7,False,attempt=1; line-search rejected step
267.1959798994975,CONVERGED,3663.3978009775196,783.1515081918525,1108781.7478896482,35976.715361388444,41558.0292557962,3.149817050519876e-15,1.228166715580143e-15,8,False,attempt=1; line-search rejected step
267.85929648241205,CONVERGED,3648.3248394341244,795.3259321630949,1122613.1020042072,36089.933927515856,41593.23599143066,1.6592048907193107e-15,4.083751100657072e-16,7,False,attempt=1; line-search rejected step
268.52261306532665,CONVERGED,3633.2959259449067,807.6462236208195,1136500.7151917382,36204.56827735854,41628.39323665366,1.843796281757113e-15,4.0736632358227513e-16,6,False,attempt=1; line-search rejected step
269.1859296482412,CONVERGED,3618.3556844112627,820.1069881367762,1150438.848729365,36320.83885383538,41663.52296232142,2.0238419791806064e-16,8.127250174336342e-16,6,False,attempt=1; line-search rejected step
269.8492462311558,CONVERGED,3603.55850633822,832.7006338306377,1164420.6910060542,36439.00375925586,41698.653188215154,5.998621772669765e-16,8.107272576142441e-16,5,False,attempt=1; line-search rejected step
270.51256281407035,CONVERGED,3588.970690477756,845.4168198060408,1178438.144678579,36559.36267907918,41733.81939458183,3.9515123420818086e-16,0.0,7,False,attempt=1; line-search rejected step
